"","iata","airport","city","state","country","lat","long","total_dep_count","dep_delay_count","dep_delay_10_count","avg_dep_delay","total_arr_count","arr_delay_count","arr_delay_10_count","avg_arr_delay","total_flights","arr_delay_ratio","arr_delay_10_ratio","dep_delay_ratio","dep_delay_10_ratio","delay_index","year"
"1","ABQ","Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,41146,16064,8169,25.004046314741,41144,17370,9521,25.7945308002303,82290,0.422175772895197,0.231406766478709,0.390414621105332,0.198536917318816,37.5540554515851,2008
"2","ATL","William B Hartsfield-Atlanta Intl","Atlanta","GA","USA",33.64044444,-84.42694444,414513,175017,105278,31.4185536262192,414521,187243,112404,32.9678065401644,829034,0.451709322326251,0.271165996415139,0.422223187210051,0.253979971677607,54.0166869807418,2008
"3","AUS","Austin-Bergstrom International","Austin","TX","USA",30.19453278,-97.66987194,49623,17759,9149,27.2918520186947,49637,21688,12854,29.6744282552564,99260,0.43693212724379,0.258960049962729,0.357878403159825,0.184370150938073,43.1336612052966,2008
"4","BNA","Nashville International","Nashville","TN","USA",36.12447667,-86.67818222,57539,23452,12924,29.9369776564899,57544,24610,14255,29.1642828118651,115083,0.427672737383567,0.247723481162241,0.407584421001408,0.224612871269921,45.8482002047097,2008
"5","BOS","Gen Edw L Logan Intl","Boston","MA","USA",42.3643475,-71.00517917,117915,37570,23163,38.5702422145329,117944,48321,31759,38.0854080006622,235859,0.409694431255511,0.269271857830835,0.318619344443031,0.196438112199466,55.9799275642351,2008
"6","BWI","Baltimore-Washington International","Baltimore","MD","USA",39.17540167,-76.66819833,104074,46748,23475,26.4861384444254,104068,40938,23082,29.5859104010943,208142,0.393377407079986,0.221797286389668,0.449180390875723,0.225560658762035,42.633862859187,2008
"7","CLE","Cleveland-Hopkins Intl","Cleveland","OH","USA",41.41089417,-81.84939667,65795,22739,13190,34.1815823035314,65792,27568,16566,32.3672373766686,131587,0.419017509727626,0.251793531128405,0.34560376928338,0.200471160422524,48.5278663398575,2008
"8","CLT","Charlotte/Douglas International","Charlotte","NC","USA",35.21401111,-80.94312583,126045,48936,27250,29.7832066372405,126030,50695,30210,27.7222211263438,252075,0.402245497103864,0.239704832182814,0.38824229441866,0.216192629616407,42.4434495847408,2008
"9","CVG","Cincinnati Northern Kentucky Intl","Covington","KY","USA",39.04614278,-84.6621725,91265,29465,18376,32.4271847955201,91345,36235,20389,29.3975438112322,182610,0.39668290546828,0.223208714215337,0.322851038185504,0.201347723661864,41.7833691230665,2008
"10","DAL","Dallas Love ","Dallas","TX","USA",32.84711389,-96.85177222,53928,31205,13941,20.2531004646691,53931,22435,11664,25.613906841988,107859,0.415994511505442,0.216276353117873,0.578641892894229,0.258511348464619,38.689558087815,2008
"11","DCA","Ronald Reagan Washington National","Arlington","VA","USA",38.85208333,-77.03772222,86662,24882,13993,31.9975484285829,86671,33563,19581,28.5666060840807,173333,0.387246022314269,0.225923319218654,0.287115460063234,0.161466386651589,38.3235488721742,2008
"12","DEN","Denver Intl","Denver","CO","USA",39.85840806,-104.6670019,241443,104414,57772,27.5971996092478,241470,102681,59236,28.0090474381823,482913,0.425232948192322,0.24531411769578,0.432458178534892,0.239278007645697,44.1904369525713,2008
"13","DFW","Dallas-Fort Worth International","Dallas-Fort Worth","TX","USA",32.89595056,-97.0372,281281,127749,76735,29.3123860069355,281401,119817,69652,30.5152774648005,562682,0.425787399476192,0.247518665534238,0.454168607193518,0.272805486328618,49.4085673953835,2008
"14","DTW","Detroit Metropolitan-Wayne County","Detroit","MI","USA",42.21205889,-83.34883583,161989,59837,34495,30.4365024984541,162000,60006,34984,31.6156551011566,323989,0.370407407407407,0.215950617283951,0.36938927951898,0.212946558099624,43.0897794859867,2008
"15","EWR","Newark Intl","Newark","NJ","USA",40.69249722,-74.16866056,138506,69612,43610,38.999023156927,138491,68896,51739,53.0680010450534,276997,0.497476370305652,0.373591063679228,0.502591945475286,0.314860006064719,97.9313660425573,2008
"16","FLL","Fort Lauderdale-Hollywood Int'l","Ft. Lauderdale","FL","USA",26.07258333,-80.15275,67177,26827,15597,34.1402691318448,67179,30536,18913,31.1207754781242,134356,0.454546807782194,0.281531430953125,0.399347991127916,0.232177679860667,53.2292584259612,2008
"17","HNL","Honolulu International","Honolulu","HI","USA",21.31869111,-157.9224072,56276,14045,6138,23.9722321110716,56272,20690,9266,23.1036732721121,112548,0.367678419107194,0.164664486778504,0.249573530457033,0.109069585613761,24.7009070918476,2008
"18","HOU","William P Hobby","Houston","TX","USA",29.64541861,-95.27888889,55933,30199,15281,23.9431769263883,55934,23009,13068,27.4479116867313,111867,0.411359816927093,0.233632495441056,0.539913825469758,0.273201866518871,43.5849890054247,2008
"19","IAD","Washington Dulles International","Chantilly","VA","USA",38.94453194,-77.45580972,76031,29417,18343,40.5656933065914,76022,31089,20103,38.5033934832256,152053,0.408947409960275,0.264436610454868,0.386907971748366,0.241256855756205,61.5912185056132,2008
"20","IAH","George Bush Intercontinental","Houston","TX","USA",29.98047222,-95.33972222,185172,87139,42627,25.5394140396378,185160,77187,43677,31.1593273478695,370332,0.416866493843163,0.235887880751782,0.470584105588318,0.230202190395956,45.5871662959442,2008
"21","IND","Indianapolis International","Indianapolis","IN","USA",39.71732917,-86.29438417,42750,13595,7719,33.0029422581832,42732,18356,10755,29.5303987796906,85482,0.429560984742114,0.251684919966302,0.318011695906433,0.180561403508772,44.0041984979934,2008
"22","JFK","John F Kennedy Intl","New York","NY","USA",40.63975111,-73.77892556,118804,43904,28930,41.4606869533528,118802,54138,37952,44.031863016735,237606,0.455699399000017,0.319455901415801,0.369549846806505,0.243510319517861,73.6156661351785,2008
"23","LAS","McCarran International","Las Vegas","NV","USA",36.08036111,-115.1523333,172876,76240,42294,28.1069123819517,172871,73763,43481,28.4487751311633,345747,0.426693893134187,0.251522811807648,0.441009741086096,0.244649344038502,45.7217102720488,2008
"24","LAX","Los Angeles International","Los Angeles","CA","USA",33.94253611,-118.4080744,215608,87258,45519,26.5456577047377,215685,93508,55866,28.9418873251487,431293,0.433539652734312,0.259016621461854,0.404706689918741,0.211119253459983,43.8878202264286,2008
"25","LGA","LaGuardia","New York","NY","USA",40.77724306,-73.87260917,119135,38484,26701,42.0505404843571,119117,58899,42636,40.9950423606513,238252,0.494463426714911,0.357933796183584,0.323028497083141,0.224123893062492,72.6256251306118,2008
"26","MCI","Kansas City International","Kansas City","MO","USA",39.29760528,-94.71390556,59370,23308,12499,29.2203535266861,59361,26984,15666,27.6209605692262,118731,0.454574552315493,0.263910648405519,0.392588849587334,0.210527202290719,44.7579812655913,2008
"27","MCO","Orlando International","Orlando","FL","USA",28.42888889,-81.31602778,130872,51364,28857,31.1578148119305,130859,54904,33076,30.7809084948273,261731,0.419566097861057,0.252760604925913,0.392475090164435,0.220497891069136,47.573926402429,2008
"28","MDW","Chicago Midway","Chicago","IL","USA",41.7859825,-87.75242444,87619,44426,22690,26.6259172556611,87600,33014,18397,28.3264069788575,175219,0.376872146118721,0.210011415525114,0.50703614512834,0.258962097262009,42.9685772625623,2008
"29","MEM","Memphis International","Memphis","TN","USA",35.04241667,-89.97666667,80966,24163,14729,34.5528287050449,80961,32117,18237,29.0637045801289,161927,0.396697175183113,0.225256605032052,0.298433910530346,0.181915865919028,41.2205158982042,2008
"30","MIA","Miami International","Miami","FL","USA",25.79325,-80.29055556,62559,30263,19250,36.162046062849,62582,32117,20349,33.4686614565495,125141,0.513198683327474,0.325157393499728,0.483751338736233,0.307709522211033,67.5620825490243,2008
"31","MKE","General Mitchell International","Milwaukee","WI","USA",42.94722222,-87.89658333,42700,15135,9416,36.8324413610836,42687,18676,10907,30.3609445277361,85387,0.43751024902195,0.255511045517371,0.354449648711944,0.220515222482436,49.9756976621749,2008
"32","MSP","Minneapolis-St Paul Intl","Minneapolis","MN","USA",44.88054694,-93.2169225,130289,44958,25666,28.5397482094399,130320,52278,30525,30.7594207888596,260609,0.401151012891344,0.234231123388582,0.345063666157542,0.196992838996385,42.2189563500975,2008
"33","MSY","New Orleans International ","New Orleans","LA","USA",29.99338889,-90.25802778,39422,15229,8141,28.7949307242761,39423,16799,9732,28.4540746473004,78845,0.426121807066941,0.246860969484819,0.386307138146213,0.206509055857136,43.2434038521327,2008
"34","OAK","Metropolitan Oakland International","Oakland","CA","USA",37.72129083,-122.2207167,62535,29189,12729,19.477063277262,62533,24526,13537,24.9401043790263,125068,0.39220891369357,0.216477699774519,0.466762612936755,0.203550011993284,33.6354055134282,2008
"35","ORD","Chicago O'Hare International","Chicago","IL","USA",41.979595,-87.90446417,350380,159427,106725,40.4948848062122,350452,151871,107383,48.1469997563722,700832,0.433357492609544,0.306412861105087,0.45501170158114,0.304597865174953,81.1308848925304,2008
"36","PDX","Portland Intl","Portland","OR","USA",45.58872222,-122.5975,57860,21343,10362,25.2364709740899,57858,25648,14762,27.2138178415471,115718,0.443292198140274,0.255141899132359,0.368873142067058,0.179087452471483,39.7790351032541,2008
"37","PHL","Philadelphia Intl","Philadelphia","PA","USA",39.87195278,-75.24114083,100499,42583,24337,35.2322992743583,100483,41252,28219,40.4272035295258,200982,0.410537105779087,0.280833573838361,0.423715658862277,0.242161613548394,62.7638865682949,2008
"38","PHX","Phoenix Sky Harbor International","Phoenix","AZ","USA",33.43416667,-112.0080556,199408,82915,42432,24.5099077368389,199416,79006,43767,25.413829329418,398824,0.396186865647691,0.219475869539054,0.415805785123967,0.21278985797962,36.6308911831576,2008
"39","PIT","Pittsburgh International","Pittsburgh","PA","USA",40.49146583,-80.23287083,41800,14878,8590,34.3651700497379,41791,17996,10960,31.1077461658146,83591,0.430619032806107,0.26225742384724,0.355933014354067,0.205502392344498,49.0058855321217,2008
"40","RDU","Raleigh-Durham International","Raleigh","NC","USA",35.87763889,-78.78747222,60179,20564,12562,36.3489107177592,60186,26387,16125,32.6752946526699,120365,0.438424218256737,0.267919449705912,0.34171388690407,0.20874391398993,51.8428758976391,2008
"41","SAN","San Diego International-Lindbergh ","San Diego","CA","USA",32.73355611,-117.1896567,93775,37312,19193,25.5201811749571,93750,40333,22959,26.4011107529814,187525,0.430218666666667,0.244896,0.397888563049853,0.204670754465476,39.6667264562407,2008
"42","SAT","San Antonio International","San Antonio","TX","USA",29.53369444,-98.46977778,45270,16348,8501,27.6662588695865,45260,20588,11932,27.7273654556052,90530,0.454882898806894,0.263632346442775,0.36112215595317,0.187784404683013,42.4185562079739,2008
"43","SEA","Seattle-Tacoma Intl","Seattle","WA","USA",47.44898194,-122.3093131,109069,46162,23707,25.188943286686,109075,49969,30538,28.1220156497028,218144,0.45811597524639,0.279972495988998,0.423236666697228,0.217357819362055,44.7658246317469,2008
"44","SFO","San Francisco International","San Francisco","CA","USA",37.61900194,-122.3748433,140587,58200,36197,37.6051546391753,140579,66724,45697,40.2364216773575,281166,0.474637036826269,0.325062776090312,0.41397853286577,0.257470463129592,70.5063651449222,2008
"45","SJC","San Jose International","San Jose","CA","USA",37.36186194,-121.9290089,57136,21369,9914,22.8335439187608,57143,22862,12566,24.7589887148981,114279,0.400083999790001,0.219904450238874,0.374002380285634,0.173515821898628,33.2966797553475,2008
"46","SLC","Salt Lake City Intl","Salt Lake City","UT","USA",40.78838778,-111.9777731,139088,44669,21414,24.2934473572276,139077,51089,26591,25.0007438000352,278165,0.36734327027474,0.191196243807387,0.321156390199011,0.153960082825262,30.2861686266878,2008
"47","SMF","Sacramento International","Sacramento","CA","USA",38.69542167,-121.5907669,53056,22304,10263,22.477537661406,53049,23257,12858,24.8520875435353,106105,0.438406001998153,0.242379686704745,0.420386007237636,0.193437123039807,36.7398192550447,2008
"48","SNA","John Wayne /Orange Co","Santa Ana","CA","USA",33.67565861,-117.8682225,47376,17869,8626,24.1008450388942,47376,19231,10384,22.7951744579065,94752,0.405922830124958,0.219182708544411,0.37717409658899,0.182075312394461,32.7240812320015,2008
"49","STL","Lambert-St Louis International","St Louis","MO","USA",38.74768694,-90.35998972,62733,24269,13790,30.253450904446,62739,26586,15309,29.1839690062439,125472,0.423755558743365,0.244010902309568,0.386861779286819,0.219820509141919,44.9635151405418,2008
"50","TPA","Tampa International ","Tampa","FL","USA",27.97547222,-82.53325,78179,28880,16021,30.9095567867036,78171,32762,19402,29.5683413711007,156350,0.419106829898556,0.248199460157859,0.369408664730938,0.204927154350913,44.8224521640897,2008
